date,account_id,isin,quantity,market_value
2026-08-05,ACC001,SE0000108656,572.38,57238
2026-08-05,ACC001,SE0000163594,529.12,52912
2026-08-05,ACC001,SE0000242455,522.04,52204
2026-08-05,ACC001,XS1111111111,542.53,54253
2026-08-05,ACC001,XS2222222222,540.06,54006
2026-08-05,ACC001,XS3333333333,538.28,53828
2026-08-05,ACC001,XS4444444444,531.43,53143
2026-08-05,ACC001,LU1111111111,528.39,52839
2026-08-05,ACC001,IE2222222222,575.43,57543
2026-08-05,ACC001,XX0000000001,564.67,56467
2026-08-05,ACC001,KY1111111111,527.12,52712
2026-08-05,ACC002,SE0000108656,568.37,56837
2026-08-05,ACC002,SE0000163594,554.56,55456
2026-08-05,ACC002,SE0000242455,522.6,52260
2026-08-05,ACC002,XS1111111111,522.44,52244
2026-08-05,ACC002,XS2222222222,527.67,52767
2026-08-05,ACC002,XS3333333333,537.91,53791
2026-08-05,ACC002,XS4444444444,539.05,53905
2026-08-05,ACC002,LU1111111111,561.39,56139
2026-08-05,ACC002,IE2222222222,569.31,56931
2026-08-05,ACC002,XX0000000001,522.17,52217
2026-08-05,ACC002,KY1111111111,565.97,56597
2026-08-05,ACC003,SE0000108656,1099.16,109916
2026-08-05,ACC003,SE0000163594,511.08,51108
2026-08-05,ACC003,SE0000242455,513.0,51300
2026-08-05,ACC003,XS1111111111,486.53,48653
2026-08-05,ACC003,XS2222222222,508.59,50859
2026-08-05,ACC003,XS3333333333,497.31,49731
2026-08-05,ACC003,XS4444444444,493.93,49393
2026-08-05,ACC003,LU1111111111,491.38,49138
2026-08-05,ACC003,IE2222222222,486.36,48636
2026-08-05,ACC003,XX0000000001,488.81,48881
2026-08-05,ACC003,KY1111111111,519.2,51920
2026-08-05,ACC004,SE0000108656,547.57,54757
2026-08-05,ACC004,SE0000163594,528.37,52837
2026-08-05,ACC004,SE0000242455,527.59,52759
2026-08-05,ACC004,XS1111111111,551.12,55112
2026-08-05,ACC004,XS2222222222,527.92,52792
2026-08-05,ACC004,XS3333333333,549.4,54940
2026-08-05,ACC004,XS4444444444,548.17,54817
2026-08-05,ACC004,LU1111111111,569.45,56945
2026-08-05,ACC004,IE2222222222,541.66,54166
2026-08-05,ACC004,XX0000000001,523.55,52355
2026-08-05,ACC004,KY1111111111,579.77,57977
