date,account_id,isin,quantity,market_value
2026-08-06,ACC001,SE0000108656,557.63,55763.0
2026-08-06,ACC001,SE0000163594,563.92,56392.0
2026-08-06,ACC001,SE0000242455,530.22,53022.0
2026-08-06,ACC001,XS1111111111,551.0,55100.0
2026-08-06,ACC001,XS2222222222,526.45,52645.0
2026-08-06,ACC001,XS3333333333,565.22,56522.0
2026-08-06,ACC001,XS4444444444,544.01,54401.0
2026-08-06,ACC001,LU1111111111,571.49,57149.0
2026-08-06,ACC001,IE2222222222,570.66,57066.0
2026-08-06,ACC001,XX0000000001,549.62,54962.0
2026-08-06,ACC001,KY1111111111,567.29,56729.0
2026-08-06,ACC002,SE0000108656,535.75,53575.0
2026-08-06,ACC002,SE0000163594,577.71,57771.0
2026-08-06,ACC002,SE0000242455,525.69,52569.0
2026-08-06,ACC002,XS1111111111,523.75,52375.0
2026-08-06,ACC002,XS2222222222,574.17,57417.0
2026-08-06,ACC002,XS3333333333,538.66,53866.0
2026-08-06,ACC002,XS4444444444,543.7,54370.0
2026-08-06,ACC002,LU1111111111,526.53,52653.0
2026-08-06,ACC002,IE2222222222,539.07,53907.0
2026-08-06,ACC002,XX0000000001,528.27,52827.0
2026-08-06,ACC002,KY1111111111,551.13,55113.0
2026-08-06,ACC003,SE0000108656,1103.41,110341.0
2026-08-06,ACC003,SE0000163594,518.36,51836.0
2026-08-06,ACC003,SE0000242455,507.99,50799.0
2026-08-06,ACC003,XS1111111111,506.54,50654.0
2026-08-06,ACC003,XS2222222222,482.92,48292.0
2026-08-06,ACC003,XS3333333333,504.95,50495.0
2026-08-06,ACC003,XS4444444444,506.0,50600.0
2026-08-06,ACC003,LU1111111111,487.0,48700.0
2026-08-06,ACC003,IE2222222222,501.87,50187.0
2026-08-06,ACC003,XX0000000001,509.86,50986.0
2026-08-06,ACC003,KY1111111111,490.02,49002.0
2026-08-06,ACC004,SE0000108656,533.38,53338.0
2026-08-06,ACC004,SE0000163594,557.86,55786.0
2026-08-06,ACC004,SE0000242455,551.08,55108.0
2026-08-06,ACC004,XS1111111111,542.11,54211.0
2026-08-06,ACC004,XS2222222222,572.42,57242.0
2026-08-06,ACC004,XS3333333333,576.37,57637.0
2026-08-06,ACC004,XS4444444444,565.62,56562.0
2026-08-06,ACC004,LU1111111111,537.99,53799.0
2026-08-06,ACC004,IE2222222222,576.08,57608.0
2026-08-06,ACC004,XX0000000001,546.56,54656.0
2026-08-06,ACC004,KY1111111111,524.58,52458.0
